angDist,sobject_id,ra,dec,_RAJ2000,_DEJ2000,HE,RA2000,DE2000,Field,Plate,q,Type,BJmag,Vmag,_RA.icrs,_DE.icrs
1.220368,151230002201224,80.4911666667,-50.1675555556,80.4908,-50.1678,HE 0520-5012,05 21 57.8,-50 10 04,204,845,a,stars,14.4,13.6,05 21 57.8,-50 10 04
1.288371,150703002101022,204.43325,-21.81825,204.4329,-21.8181,HE 1334-2133,13 37 43.9,-21 49 05,577,9137,a,stars,14.4,13.6,13 37 44.0,-21 49 05
0.528485,161009005301202,64.945125,-5.10477777778,64.945,-5.1047,HE 0417-0513,04 19 46.8,-05 06 17,764,2843,a,stars,14.6,13.7,04 19 46.9,-05 06 17
0.681644,161118004701096,76.6695833333,-37.9426111111,76.6696,-37.9428,HE 0504-3800,05 06 40.7,-37 56 34,305,8397,d,bright,16.5,,05 06 40.8,-37 56 34
0.673952,160919004001388,335.358541667,1.7055,335.3587,1.7056,HE 2218+0127,22 21 26.1,+01 42 20,890,2569,d,stars,14.6,14.0,22 21 26.2,+01 42 20
1.454746,161209002101357,78.6892916667,-56.5736666667,78.6896,-56.5733,HE 0513-5637,05 14 45.5,-56 34 24,159,388,a,bright,12.4,,05 14 45.5,-56 34 24
0.460744,170216003301377,191.109208333,-29.2590277778,191.1092,-29.2589,HE 1241-2859,12 44 26.2,-29 15 32,442,9922,c,stars,15.5,12.6,12 44 26.3,-29 15 32
0.240891,160530002801358,193.87625,-27.20425,193.8762,-27.2042,HE 1252-2656,12 55 30.3,-27 12 15,507,9910,b,stars,13.8,13.0,12 55 30.4,-27 12 15
0.769980,160129005201226,160.0095,-27.0101944444,160.0096,-27.01,HE 1037-2644,10 40 02.3,-27 00 36,501,9907,b,stars,14.3,13.4,10 40 02.4,-27 00 36
1.556284,150209003901013,158.855041667,-20.7620277778,158.8546,-20.7619,HE 1033-2030,10 35 25.1,-20 45 43,568,9920,b,stars,13.8,11.9,10 35 25.2,-20 45 43
0.380863,170414003601304,187.643708333,-31.3318055556,187.6437,-31.3317,HE 1227-3103,12 30 34.5,-31 19 54,442,9922,a,stars,14.3,13.3,12 30 34.6,-31 19 54
0.156338,170218003201278,179.04875,-29.71,179.0488,-29.71,HE 1153-2925,11 56 11.7,-29 42 36,440,9155,d,ext,13.6,12.8,11 56 11.8,-29 42 36
0.896744,170407003601279,188.585916667,-30.1110555556,188.5862,-30.1111,HE 1231-2950,12 34 20.7,-30 06 40,442,9922,a,stars,14.0,13.1,12 34 20.8,-30 06 40
0.414160,170407004101073,207.008666667,-26.5201111111,207.0087,-26.52,HE 1345-2616,13 48 02.1,-26 31 12,509,2313,b,bright,12.9,,13 48 02.2,-26 31 12
0.507261,160531003101387,211.729458333,-9.01608333333,211.7296,-9.0161,HE 1404-0846,14 06 55.1,-09 00 58,721,9166,c,stars,15.3,14.2,14 06 55.2,-09 00 58
1.198045,170603007701247,332.121916667,-10.3105555556,332.1217,-10.3103,HE 2205-1033,22 08 29.2,-10 18 37,745,2872,b,bright,12.8,,22 08 29.3,-10 18 37
0.379460,160916004301338,65.4183333333,1.5295,65.4183,1.5294,HE 0419+0124,04 21 40.4,+01 31 46,836,2885,d,stars,15.7,13.0,04 21 40.5,+01 31 46
0.183131,180129004901318,166.449541667,-31.6793888889,166.4496,-31.6794,HE 1103-3124,11 05 47.9,-31 40 46,438,9144,a,stars,14.5,13.5,11 05 48.0,-31 40 46
1.220368,171206004101224,80.4911666667,-50.1675555556,80.4908,-50.1678,HE 0520-5012,05 21 57.8,-50 10 04,204,845,a,stars,14.4,13.6,05 21 57.8,-50 10 04
1.170458,170512001301305,200.240708333,-25.1251666667,200.2404,-25.125,HE 1318-2451,13 20 57.7,-25 07 30,508,9141,b,bright,15.4,,13 20 57.8,-25 07 30
0.737317,160418003601353,176.220583333,-26.3082222222,176.2204,-26.3081,HE 1142-2601,11 44 52.9,-26 18 29,504,9913,a,stars,13.9,13.0,11 44 53.0,-26 18 29
1.454746,180101001601094,78.6892916667,-56.5736666667,78.6896,-56.5733,HE 0513-5637,05 14 45.5,-56 34 24,159,388,a,bright,12.4,,05 14 45.5,-56 34 24
1.220368,171208003601224,80.4911666667,-50.1675555556,80.4908,-50.1678,HE 0520-5012,05 21 57.8,-50 10 04,204,845,a,stars,14.4,13.6,05 21 57.8,-50 10 04
