angDist,sobject_id,ra,dec,_RAJ2000,_DEJ2000,Type,Name,Teff,logg,[Fe/H],[C/Fe],[N/Fe],l_[O/Fe],[O/Fe],[Mg/Fe],l_[Ba/Fe],[Ba/Fe],l_[La/Fe],[La/Fe],l_[Ce/Fe],[Ce/Fe],l_[Eu/Fe],[Eu/Fe],l_[Pb/Fe],[Pb/Fe],SimbadName,_RA,_DE,e_[Fe/H]
0.072390,150718004401358,334.256916667,-16.6575277778,334.2569,-16.65754,C,CS 22892-052,4710,1.5,-3.1,1.05,1.0,,0.72,0.3,,0.96,,1.09,,1.03,,1.66,,1.35,BPS CS 22892-052,334.2569,-16.65754,0.13
0.072390,150718004401358,334.256916667,-16.6575277778,334.2569,-16.65754,C,CS 22892-052,4850,1.6,-3.03,0.92,0.51,,0.41,0.22,,1.01,,1.11,,1.02,,1.49,,,BPS CS 22892-052,334.2569,-16.65754,0.14
0.072390,150718004401358,334.256916667,-16.6575277778,334.2569,-16.65754,C,CS 22892-052,4884,1.81,-2.95,0.87,,,,0.12,,1.19,,1.02,,,,1.54,,,BPS CS 22892-052,334.2569,-16.65754,0.19
0.116580,170106005101038,151.968333333,-14.9058333333,151.9683,-14.90583,C,HE 1005-1439,5000,1.9,-3.17,2.48,1.79,,,0.6,,1.06,,,,,,,,,HE 1005-1439,151.9683,-14.90583,0.32
0.206882,140209005201151,210.632737,9.686134,210.63269,9.6861,rI,HD 122563,4600,1.1,-2.82,-0.47,0.7,,0.56,0.36,,-1.02,,-1.02,,-0.64,,-0.52,,,HD 122563,210.63269,9.6861,0.17
0.122085,161104002301201,331.243166667,4.02558333333,331.2432,4.02559,rI,BS 17569-049,4700,1.2,-2.88,-0.05,0.86,,,0.25,,0.2,,0.38,,0.23,,0.72,,,BPS BS 17569-049,331.2432,4.02559,0.17
0.121099,170407005201267,251.381041667,8.24597222222,251.38101,8.24596,rI,CS 22878-101,4800,1.3,-3.25,-0.21,1.33,,,0.44,,-0.58,,-0.42,,0.17,,-0.06,,,BPS CS 22878-101,251.38101,8.24596,0.12
0.164874,170906004601108,15.5661666667,-61.7293888889,15.56607,-61.72939,rI,CS 22953-003,5100,2.3,-2.84,0.32,0.12,,0.69,0.13,,0.49,,0.66,,0.66,,1.05,,,BPS CS 22953-003,15.56607,-61.72939,0.15
0.164874,170906004601108,15.5661666667,-61.7293888889,15.56607,-61.72939,rI,CS 22953-003,5000,2.0,-2.88,0.39,0.7,<,1.22,0.46,,0.31,,0.55,,0.4,,0.86,<,1.18,BPS CS 22953-003,15.56607,-61.72939,0.16
0.169995,170614005101293,326.202916667,-63.3693611111,326.203,-63.36939,C,CS 22956-028,6900,3.9,-2.08,1.6,,,0.5,,,0.37,,,,,,,,,BPS CS 22956-028,326.203,-63.36939,0.09
0.169995,170614005101293,326.202916667,-63.3693611111,326.203,-63.36939,C,CS 22956-028,6700,3.5,-2.33,1.84,1.85,<,2.47,0.58,,0.16,<,0.5,,0.85,<,0.91,<,1.33,BPS CS 22956-028,326.203,-63.36939,0.06
0.169995,170614005101293,326.202916667,-63.3693611111,326.203,-63.36939,C,CS 22956-028,7038,4.3,-1.89,1.82,1.52,,0.63,0.31,,0.56,,0.67,,,<,0.77,,1.92,BPS CS 22956-028,326.203,-63.36939,0.08
