angDist,sobject_id,ra,dec,_RAJ2000,_DEJ2000,Group,Name,f_Name,A,RAJ2000,DEJ2000,Teff,log(g),l_[Fe/H],[Fe/H],l_[C/Fe],[C/Fe],l_A(C),A(C),l_[Ba/Fe],[Ba/Fe],f_[Ba/Fe],l_[Eu/Fe],[Eu/Fe],f_[Eu/Fe],Bin,f_Bin,Out,Bibcode,CCat
0.084277,131119001201151,94.355375,-60.1279527778,94.355413,-60.127939,II,SMSS J0617-6007,,*,06 17 25.2991,-60 07 40.5804,4810,1.35,,-2.72,,0.22,,6.45,,-0.35,,,0.1,,,,,2015ApJ...807..171J,1
0.176000,150412002601089,171.704958333,3.86433333333,171.704963,3.864382,I,BD+04 2466,,,11 26 49.1912,+03 51 51.7735,5100,1.8,,-1.9,,1.24,,7.87,,1.63,,,,,,,,2009A&A...496..791P,0
0.136918,170106005101038,151.968333333,-14.9058333333,151.968294,-14.905832,I,HE 1005-1439,,,10 07 52.3905,-14 54 20.9944,5202,2.55,,-3.09,,2.48,,7.84,,1.17,,,,,,,,2013ApJ...762...26Y,1
1.776677,170106005101175,150.516291667,-14.6564444444,150.516659,-14.656102,I,HE 0959-1424,,,10 02 03.9982,-14 39 21.9655,5790,0.64,,-1.42,,2.3,,9.34,,1.24,,,,,2,,,2016A&A...588A...3H,0
0.084277,131217002801335,94.355375,-60.1279527778,94.355413,-60.127939,II,SMSS J0617-6007,,*,06 17 25.2991,-60 07 40.5804,4810,1.35,,-2.72,,0.22,,6.45,,-0.35,,,0.1,,,,,2015ApJ...807..171J,1
0.063428,131218002401293,105.741441667,-60.0728666667,105.741448,-60.072884,II,SMSS J0702-6004,,*,07 02 57.9475,-60 04 22.3814,4824,1.4,,-2.62,,0.42,,6.68,,-0.31,,<,0.05,,,,,2015ApJ...807..171J,1
0.026355,160813003601164,321.537333333,-3.283,321.537326,-3.283,II,HE 2123-0329,,*,21 26 08.9581,-03 16 58.8010,4725,1.15,,-3.22,,0.4,,6.27,,-0.85,,,,,,,,2011ApJ...742...54H,0
0.120237,171001003401125,68.7555,-9.99344444444,68.755474,-9.993423,II,HE 0432-1005A,,*,04 35 01.3138,-09 59 36.3239,4525,0.5,,-3.21,,0.23,,6.18,,-0.9,,,,,,,,2011ApJ...742...54H,0
0.237752,170909002601216,339.533125,-50.7115555556,339.533111,-50.711621,II,HE 2235-5058,,,22 38 07.9467,-50 42 41.8342,5200,2.5,,-2.7,,1.0,,6.8,,2.4,,,,,,,x,2016A&A...588A..37C,0
0.209280,170514003001001,289.631791667,-47.2253333333,289.631733,-47.225291,I,CS 22947-187,,,19 18 31.6159,-47 13 31.0461,5300,1.4,,-2.58,,1.25,,7.36,,1.53,,,0.55,,,,,2014AJ....147..136R,1
0.024308,170530003601225,239.11975,-16.9259444444,239.119744,-16.925948,II,SMSS J1556-1655,,*,15 56 28.7386,-16 55 33.4117,4837,1.45,,-2.79,,0.36,,6.44,,-0.4,,<,0.15,,,,,2015ApJ...807..171J,1
0.039380,170614005101293,326.202916667,-63.3693611111,326.202919,-63.369372,I,CS 22956-028,,,21 44 48.7005,-63 22 09.7388,6900,3.9,,-2.08,,1.73,,8.08,,0.37,,,,,,,,2003ApJ...591..936S,0
0.164743,171205002101255,48.251625,-67.1442555556,48.251511,-67.144244,III,SMSS J0313-6708,,*,03 13 00.3627,-67 08 39.2791,5125,2.3,<,-7.8,>,5.39,>,6.02,,,l,,,l,,,,2015ApJ...806L..16B,0
